Index,PROTEIN_ACCESSION,Structure,CMPD_CHEMBLID,MOL_PREF_NAME,CANONICAL_SMILES,PDB_ID,Molecular_Weight,Distribution,NAssay,Mean(IC50),StdDev(IC50),Median(IC50),Mean(pIC50),StdDev(pIC50),Median(pIC50)
1,Q16539,,CHEMBL96741,-,Fc1ccc(cc1)c2ncn(CC3CC3)c2c4ccncc4,1BL6,293.33814,,2,160,0,160,6.795880017,0,6.795880017
1,Q16539,,CHEMBL274064,SB-220025,Nc1nccc(n1)c2c(ncn2C3CCNCC3)c4ccc(F)cc4,1BL7,338.38206,,4,19.5,0.5,19.5,7.710108202,0.011138197,7.710108202
1,Q16539,,CHEMBL590753,-,Nc1nccc(n1)c2c(ncn2CC3CC3)c4ccc(F)cc4,1BMK,309.34084,,1,25,0,25,7.602059991,0,7.602059991
1,Q16539,,CHEMBL87277,-,Cn1nc(cc1NC(=O)Nc2ccc(Cl)cc2)C(C)(C)C,"1KV1, 3O8P, 3O8T, 3O8U, 3OBJ, 3OC1",306.79055,,2,18900,2100,18900,4.726235712,0.048455007,4.726235712
1,Q16539,,CHEMBL103667,DORAMAPIMOD,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C,1KV2,527.65717,,13,89.85461538,117.536082,44,7.421858707,0.589447529,7.356547324
1,Q16539,,CHEMBL94417,-,Fc1ccc(c(F)c1)c2cc(cc3N(C(=O)NCc23)c4c(Cl)cccc4Cl)N5CCNCC5,1M7Q,489.3446,,2,2.6,0,2.6,8.585026652,0,8.585026652
1,Q16539,,CHEMBL305178,-,C[C@H](Nc1nccc(n1)c2c(nc(C3CCNCC3)n2C)c4cccc(c4)C(F)(F)F)c5ccccc5,1OUK,506.56526,,1,110,0,110,6.958607315,0,6.958607315
1,Q16539,,CHEMBL564912,-,Fc1ccc(c(F)c1)c2cc(cc3N(C(=O)CCc23)c4c(Cl)cccc4Cl)C5CCNCC5,1OVE,487.36848,,2,0.74,0,0.74,9.13076828,0,9.13076828
1,Q16539,,CHEMBL194009,-,Nc1ncccc1OCc2ccccc2,1W7H,200.23648,,1,100000,0,100000,4,0,4
1,Q16539,,CHEMBL193264,-,Fc1cc(cc(c1)C(=O)Nc2ccc3ccn(CCc4ccncc4)c3c2)N5CCOCC5,1WBT,444.5007,,1,340,0,340,6.468521083,0,6.468521083
1,Q16539,,CHEMBL199237,-,O=C(NCc1ccccn1)c2ccc(Oc3ccccc3)cc2,1ZYJ,304.34254,,1,1500,0,1500,5.823908741,0,5.823908741
1,Q16539,,CHEMBL197277,-,Oc1ccccc1CNC2CCN(CC2)S(=O)(=O)Nc3cccc(Oc4ccc(F)cc4)c3,1ZZ2,471.54434,,1,6000,0,6000,5.22184875,0,5.22184875
1,Q16539,,CHEMBL194322,-,CC(C)c1nnc2ccc(cn12)c3ocnc3c4ccc(F)cc4,1ZZL,322.3363,,2,5,0,5,8.301029996,0,8.301029996
1,Q16539,,CHEMBL63071,-,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(n1)c3ccccc3,2BAJ,403.305,,1,30,0,30,7.522878745,0,7.522878745
1,Q16539,,CHEMBL184659,-,COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(c4)N5CCOCC5)ccc3C)c2cc1OCCN6CCCC6,"2BAK, 4A9Y",583.68068,,2,34.5,4.5,34.5,7.465907069,0.056971676,7.465907069
1,Q16539,,CHEMBL203567,-,Nc1c(cnn1c2ccc(F)cc2)C(=O)c3cccc(OC[C@@H](O)CO)c3,"2BAQ, 2GFS",371.36232,,6,666.6666667,606.7857026,450,6.317698871,0.334459794,6.349485002
1,Q16539,,CHEMBL221595,-,Fc1ccc(N(CCCN2C(=O)c3ccccc3C2=O)C4=NN(C(=O)C=C4)c5ccccc5Cl)c(Cl)c1,2I0H,537.36916,,1,9,0,9,8.045757491,0,8.045757491
1,Q16539,,CHEMBL252128,-,CCNC(=O)c1cn2ncnc(Nc3cc(ccc3C)C(=O)NOC)c2c1C,2RG5,382.41637,,2,3.1,0,3.1,8.508638306,0,8.508638306
1,Q16539,,CHEMBL252535,-,CONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)N[C@@H](C)c4ccccc4)c(C)c23)c1,2RG6,458.51233,,2,2.2,0,2.2,8.657577319,0,8.657577319
1,Q16539,,CHEMBL237127,-,Cc1ccc(O)cc1Nc2ccnc3cc(ccc23)c4csc(C=O)n4,2ZAZ,361.41699,,1,2500,0,2500,5.602059991,0,5.602059991
1,Q16539,,CHEMBL270164,GW607117X,Cc1oc(nn1)c2ccc(C)c(c2)c3ccc(cc3)C(=O)Nc4cccc(c4)C#N,2ZB0,394.42532,,2,1500,0,1500,5.823908741,0,5.823908741
1,Q16539,,CHEMBL273158,-,Cc1oc(nn1)c2ccc(C)c(c2)c3ccc(cc3)C(=O)NCC4CC4,2ZB1,347.41033,,3,3000,0,3000,5.522878745,0,5.522878745
1,Q16539,,CHEMBL258202,-,CC[C@@H](C)Nc1ncc(s1)C(=O)Nc2cc(ccc2C)C(=O)NC,3BX5,346.44717,,3,3.833333333,0.23570226,4,8.417270658,0.027337666,8.397940009
1,Q16539,,CHEMBL257341,-,CC(C)Nc1nc2ccc(cc2s1)c3ocnc3c4ccccc4F,3C5U,353.41324,,1,6.4,0,6.4,8.193820026,0,8.193820026
1,Q16539,,CHEMBL478649,-,Cc1ccc(cc1c2ccc(cc2)C(=O)NCC3CC3)C(=O)NC4CC4,3D7Z,348.43816,,4,469.355,647.3911238,137.265,6.842414726,0.707265699,6.912465267
1,Q16539,,CHEMBL476351,GW775608X,Cc1ccc(NC(=O)c2ccnc(c2)N3CCOCC3)cc1c4ccc(cc4)C(=O)NCC5CC5,3D83,470.56279,,1,6,0,6,8.22184875,0,8.22184875
1,Q16539,,CHEMBL492265,-,Cc1ccccc1c2nncc3cc(ccc23)c4cc(ccc4C)C(=O)NC5CC5,3DS6,393.48031,,1,0.8,0,0.8,9.096910013,0,9.096910013
1,Q16539,,CHEMBL494072,-,Cc1ccc(cc1c2ccc3nc(NCCN4CCOCC4)ncc3c2)C(=O)NC5CC5,3DT1,431.53005,,1,2.4,0,2.4,8.619788758,0,8.619788758
1,Q16539,,CHEMBL119385,-,Fc1ccc(SC2=NN3C=NC(=O)C(=C3C=C2)c4c(Cl)cccc4Cl)c(F)c1,"3FC1, 3HP5, 3ZSI",436.26206,,12,2636.238333,6928.984023,60.5,6.879269186,1.008670943,7.223665892
1,Q16539,,CHEMBL1230122,-,CN1C(=O)C(=Cc2cnc(NC3CCOCC3)nc12)Oc4ccc(F)cc4F,3FLN,388.36802,,1,10,0,10,8,0,8
1,Q16539,,CHEMBL1230610,-,C[C@@H](CS(=O)(=O)C)Nc1ncc2C=C(Oc3ccc(F)cc3F)C(=O)N(C)c2n1,3FLQ,424.42172,,1,50,0,50,7.301029996,0,7.301029996
1,Q16539,,CHEMBL1232769,-,C[C@H](CS(=O)(=O)C)Nc1ncc2C=C(Oc3ccc(F)cc3F)C(=O)N(C)c2n1,3FLS,424.42172,,1,5,0,5,8.301029996,0,8.301029996
1,Q16539,,CHEMBL1090089,PAMAPIMOD,CN1C(=O)C(=Cc2cnc(NC(CCO)CCO)nc12)Oc3ccc(F)cc3F,3FLW,406.3833,,2,14,0,14,7.853871964,0,7.853871964
1,Q16539,,CHEMBL1232772,-,CC(C)Nc1ncc2C=C(Oc3ccc(F)cc3F)C(=O)N(C)c2n1,3FLY,346.33134,,1,4,0,4,8.397940009,0,8.397940009
1,Q16539,,CHEMBL1232773,-,CN1C(=O)C(=Cc2cnc(NC3CCOCC3)nc12)Oc4ccccc4,3FLZ,352.3871,,1,106,0,106,6.974694135,0,6.974694135
1,Q16539,,CHEMBL1230351,-,C[C@H](Cn1ncnn1)Nc2ncc3C=C(Oc4ccc(F)cc4F)C(=O)N(C)c3n2,3FMH,414.36884,,1,11,0,11,7.958607315,0,7.958607315
1,Q16539,,CHEMBL1232784,-,C[C@@H](Cn1ncnn1)Nc2ncc3C=C(Oc4ccc(F)cc4F)C(=O)N(C)c3n2,3FMK,414.36884,,1,2,0,2,8.698970004,0,8.698970004
1,Q16539,,CHEMBL1232785,-,C[C@@H](CS(=O)(=O)C)Nc1n[nH]c2nc(Oc3ccc(F)cc3F)ncc12,3FML,383.3731,,1,2340,0,2340,5.630784143,0,5.630784143
1,Q16539,,CHEMBL1236810,-,C[C@H](CS(=O)(=O)C)Nc1n[nH]c2nc(Oc3ccc(F)cc3F)ncc12,3FMM,383.3731,,1,109,0,109,6.962573502,0,6.962573502
1,Q16539,,CHEMBL1230350,-,Fc1ccc(Oc2ncc3c(NC4CCOCC4)n[nH]c3n2)c(F)c1,3FMN,347.3194,,1,218,0,218,6.661543506,0,6.661543506
1,Q16539,,CHEMBL328242,-,CC(C)N1CCC(CC1)c2cc3N(C(=O)NCc3c(c2)c4ccc(F)cc4Cl)c5c(Cl)cccc5Cl,3GC7,546.89088,,1,0.6,0,0.6,9.22184875,0,9.22184875
1,Q16539,,CHEMBL497033,-,Cc1cccc(c1)n2nc(cc2NC(=O)Nc3ccc(Nc4ncnc5ccc(N)cc45)cc3)C(C)(C)C,3GCQ,506.6015,,2,1100,300,1100,5.975390989,0.121519024,5.975390989
1,Q16539,,CHEMBL1336,SORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,"3GCS, 3HEG",464.82494,,6,817.8333333,1126.396653,242.4,6.569650967,0.681730267,6.734772078
1,Q16539,,CHEMBL569943,-,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3cccc(Nc4ncnc5ccc(N)cc45)c3)C(C)(C)C,3GCU,506.6015,,2,415,45,415,6.384520222,0.047278054,6.384520222
1,Q16539,,CHEMBL497615,-,Cc1cccc(c1)n2nc(cc2NC(=O)Nc3cccc(Nc4ncnc5ccc(N)cc45)c3)C(C)(C)C,3GCV,506.6015,,2,370,50,370,6.435800366,0.059049656,6.435800366
1,Q16539,,CHEMBL559401,-,CN1C(=O)C=C(Nc2cc(ccc2C)C(=O)NC3CC3)c4cnn(c14)c5ccc(F)cc5F,3GFE,449.45264,,1,3.2,0,3.2,8.494850022,0,8.494850022
1,Q16539,,CHEMBL941,IMATINIB,CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,3HEC,493.60274,,2,56850,43150,56850,4.431639716,0.431639716,4.431639716
1,Q16539,,CHEMBL1090173,-,OCC(=O)N1CCC(CC1)c2n[nH]c(c3ccc(Cl)cc3)c2c4ccncn4,3HL7,397.8581,,1,110,0,110,6.958607315,0,6.958607315
1,Q16539,,CHEMBL1088751,-,CNC(=O)c1ccc(C)c(c1)N2C(=CC(=C(Br)C2=O)OCc3ccc(F)cc3F)C,3HLL,477.29866,,6,46.00833333,90.05317141,4.15,8.13707811,0.781945286,8.419315999
1,Q16539,,CHEMBL1095447,-,BrC1=C(OCc2ccccc2)C=CN(Cc3ccccc3)C1=O,3HP2,370.23983,,2,680,0,680,6.167491087,0,6.167491087
1,Q16539,,CHEMBL551717,-,Cc1ccccc1c2c(N)c(cc[n+]2[O-])C(=O)c3ccc(F)cc3F,3HRB,340.32346,,2,21,0,21,7.677780705,0,7.677780705
1,Q16539,,CHEMBL514201,TALMAPIMOD,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)c3cc4c(cn(C)c4cc3Cl)C(=O)C(=O)N(C)C,"3HUB, 3ZSH",513.0035,,4,37.5,35.52815785,22.5,7.638235312,0.434460005,7.744727495
1,Q16539,,CHEMBL570904,-,Cc1cccc(c1)n2nc(cc2NC(=O)Nc3ccc(Nc4ccnc5ccc(N)cc45)cc3)C(C)(C)C,3HV3,505.61344,,2,685,215,685,6.186829816,0.141072326,6.186829816
1,Q16539,,CHEMBL570427,-,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3cccc(Nc4ccnc5ccc(N)cc45)c3)C(C)(C)C,3HV4,505.61344,,2,300,10,300,6.523120154,0.014481848,6.523120154
1,Q16539,,CHEMBL568874,-,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3cccc(Nc4ccnc5ccc(cc45)[N+](=O)[O-])c3)C(C)(C)C,3HV5,535.59636,,2,122.5,27.5,122.5,6.923092568,0.099183827,6.923092568
1,Q16539,,CHEMBL101035,-,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)cc3)C(C)(C)C,3HV6,477.59849,,2,3900,1600,3900,5.448954737,0.189317427,5.448954737
1,Q16539,,CHEMBL522387,-,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(n1)c4cccc(N)c4,3HV7,399.4882,,2,130,40,130,6.907654285,0.138103206,6.907654285
1,Q16539,,CHEMBL1232887,-,Cc1ccc(cc1c2ccc(cn2)C(=O)NCC3CC3)C(=O)NC4CC4,3IPH,349.42621,,1,316.23,0,316.23,6.499996932,0,6.499996932
1,Q16539,,CHEMBL1082158,-,Fc1cccc(F)c1n2ncc3c(Nc4cc(ccc4Cl)C(=O)NC5CC5)nncc23,3ITZ,440.8332,,2,2.7,1.3,2.7,8.625905986,0.227965978,8.625905986
1,Q16539,,CHEMBL410668,-,CNC(=O)c1ccc(C)c(Nc2ncnc3c2cnn3c4ccccc4)c1,3L8X,358.39651,,2,10,0,10,8,0,8
1,Q16539,,CHEMBL1738942,-,CC(C)(C)c1cc(NC(=O)Nc2nccs2)n(n1)c3ccc(CC(=O)O)cc3,3LFF,399.46673,,1,135,0,135,6.869666232,0,6.869666232
1,Q16539,,CHEMBL1171204,-,Cc1ccccc1C(=O)c2c[nH]c(c2)C(=O)NCc3occc3,3MPT,308.33123,,2,441.075,189.885,441.075,6.399997913,0.199999741,6.399997913
1,Q16539,,CHEMBL1230065,-,CCCNC(=O)c1cn2ncnc(Nc3cc(ccc3C)C(=O)NC4CC4)c2c1C,3MVL,406.48083,,1,13,0,13,7.886056648,0,7.886056648
1,Q16539,,CHEMBL1230070,-,CCCNC(=O)c1cn2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccon4)c2c1C,3MVM,433.46311,,1,3.9,0,3.9,8.408935393,0,8.408935393
1,Q16539,,CHEMBL1738839,-,[O-][n+]1ccc2c(cc(nc2c1c3c(Cl)cccc3Cl)C4CCNCC4)c5ccc(F)cc5F,3MW1,486.34066,,1,0.82,0,0.82,9.086186148,0,9.086186148
1,Q16539,,CHEMBL1271167,-,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(n1)c4ccc(CO)cc4,3NNV,414.49954,,1,27,0,27,7.568636236,0,7.568636236
1,Q16539,,CHEMBL1230171,-,CCNC(=O)NCc1ccccc1c2cc(nc(NCCN(C)C)n2)c3cnc(NC(C)C)s3,3NWW,482.64475,,1,7,0,7,8.15490196,0,8.15490196
1,Q16539,,CHEMBL1234931,-,Cc1ccc(cc1NC(=O)c2cnn(c2N)c3ccccc3)C(=O)Nc4ccon4,3OCG,402.40602,,1,3,0,3,8.522878745,0,8.522878745
1,Q16539,,CHEMBL1940501,-,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3nc(CCOCc4cccnc4)cs3)C(C)(C)C,3PG3,490.62039,,1,3641,0,3641,5.438779321,0,5.438779321
1,Q16539,,CHEMBL152596,-,Nc1ccccc1Nc2ccc(cc2)C(=O)c3ccccc3,3QUD,288.34314,,1,145,0,145,6.838631998,0,6.838631998
1,Q16539,,CHEMBL2152944,-,OC[C@@H](O)COc1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1,3QUE,425.42464,,4,22.5,17.5,22.5,7.849485002,0.451544993,7.849485002
1,Q16539,,CHEMBL1800911,-,Cc1ccc(cc1c2ccc3c(NC(=O)C34CCCC4)c2)C(=O)NC5CC5,3RIN,360.44886,,3,6.866666667,7.872455497,1.3,8.505613597,0.538027722,8.886056648
1,Q16539,,CHEMBL1738710,-,Cc1ccc(cc1N2C=NC(=C(Cl)C2=O)OCc3ccc(F)cc3F)C(=O)NCCO,3ROC,449.83512,,3,19.3,7.144695002,16.9,7.74351135,0.157749428,7.772113295
1,Q16539,,CHEMBL1807446,-,Cc1ccc(cc1Nc2ncnn3cc(C(=O)c4ccccc4)c(C)c23)C(=O)NC5CC5,3S4Q,425.48241,,1,4,0,4,8.397940009,0,8.397940009
1,Q16539,,CHEMBL1945723,-,CCN1C(=O)C(=Cc2nnc(c3c(F)cccc3Cl)n12)c4cc(ccc4C)C(=O)NC5CC5,3U8W,465.90724,,3,3.033333333,1.596524002,3.2,8.601551314,0.291697939,8.494850022
1,Q16539,,CHEMBL2177219,-,Fc1ccc(Nc2ccc3C(=O)CCCCc3c2)cc1NC(=O)c4ccccc4,3UVP,388.43414,,1,35,0,35,7.455931956,0,7.455931956
1,Q16539,,CHEMBL363648,-,CCc1nc(c2cccc(C)c2)c(s1)c3ccnc(NC(=O)c4ccccc4)c3,3ZSG,399.50804,,1,7.1,0,7.1,8.148741651,0,8.148741651
1,Q16539,,CHEMBL218962,-,Nc1ccccc1Nc2ccc3C(=O)c4ccccc4CCc3c2,3ZYA,314.38041,,3,84.66666667,24.5673677,100,7.094665552,0.146087294,7
1,Q16539,,CHEMBL2031219,-,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5ccnc(c5)N6CCOCC6)ccc4C,4AA0,539.62812,,5,204.24,178.1369023,123.03,6.94054305,0.511388716,6.909988976
1,Q16539,,CHEMBL2031238,-,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cocc5)ccc4C,4AA4,443.49769,,5,51.192,48.98437767,15.85,7.560892996,0.503493122,7.799970733
1,Q16539,,CHEMBL2031465,-,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(ccc4C)C(=O)NC5CC5,4AA5,417.50347,,5,20.754,5.349690084,17.38,7.696894656,0.109159774,7.759950228
1,Q16539,,CHEMBL2031461,-,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(ccc4C)C(=O)Nc5ccon5,4AAC,444.48576,,5,8.042,2.607837418,6.7,8.118418469,0.145198663,8.173925197
1,Q16539,,CHEMBL2401983,-,Cc1ccc(cc1NC(=O)c2ccc(s2)c3ccccc3Cl)C(=O)NC4CC4,4KIN,410.91646,,1,4.8,0,4.8,8.318758763,0,8.318758763
1,Q16539,,CHEMBL2401978,-,Cc1ccc(cc1NC(=O)c2cnc(s2)c3ccccc3Cl)C(=O)NC4CC4,4KIP,411.90451,,1,7,0,7,8.15490196,0,8.15490196
1,Q16539,,CHEMBL2402005,-,CCOC(=O)n1ccc2ccc(cc12)C(=O)Nc3cc(ccc3C)C(=O)NC4CC4,4KIQ,405.44641,,1,23,0,23,7.638272164,0,7.638272164
